ID,11miseq10,11miseq11,11miseq12,11miseq13,11miseq14,11miseq15,11miseq16,11miseq17,11miseq18,11miseq19,11miseq20,11miseq21,11miseq22,11miseq23,11miseq24,11miseq25,11miseq26,11miseq27,11miseq28,11miseq29,11miseq30,11miseq31,11miseq32,11miseq33,11miseq34,11miseq35,11miseq36,11miseq37,11miseq38,11miseq39,11miseq40,11miseq46,11miseq47,11miseq48,11miseq49,11miseq50,11miseq6,11miseq7,11miseq8,11miseq81,11miseq82,11miseq83,11miseq84,11miseq85,11miseq86,11miseq87,11miseq88,11miseq89,11miseq9,11miseq90
OTU_1100972,283.0814599,129.1197934,72.80717171,148.6591024,74.17869999,135.5288986,185.0251354,365.3746115,103.1288812,155.99882,70.79368398,197.365802,224.7501418,224.7501418,365.3746115,148.6591024,164.8537874,441.2814328,283.0814599,164.8537874,173.9684916,328.0535544,262.5581823,197.365802,135.5288986,185.0251354,164.8537874,283.0814599,365.3746115,143.184928,262.5581823,185.0251354,155.99882,304.060219,241.5517744,365.3746115,155.99882,59.2652654,485.6721891,1652.726656,1956.028319,879.4248367,1378.15924,879.4248367,1170.584609,1170.584609,1652.726656,1378.15924,93.97796301,1170.584609
OTU_182893,46667.31845,1956.028319,8968.114991,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,46667.31845,46667.31845,5217.05569,46667.31845,46667.31845,5217.05569,46667.31845,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,46667.31845,46667.31845,46667.31845,8968.114991,46667.31845,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,46667.31845,46667.31845,46667.31845,46667.31845,8968.114991,8968.114991,8968.114991,8968.114991,8968.114991,8968.114991,2528.557226,1378.15924,2528.557226,8968.114991,8968.114991,3761.972673
OTU_351309,8968.114991,8968.114991,1021.874815,8968.114991,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,8968.114991,46667.31845,8968.114991,3761.972673,8968.114991,8968.114991,8968.114991,8968.114991,46667.31845,1378.15924,8968.114991,46667.31845,5217.05569,46667.31845,8968.114991,8968.114991,8968.114991,8968.114991,46667.31845,8968.114991,8968.114991,46667.31845,5217.05569,46667.31845,3761.972673,8968.114991,8968.114991,224.7501418,57.09426903,46667.31845,204.4622575,262.5581823,117.9160101,169.3501893,124.1110535,262.5581823,124.1110535,132.2858285,155.99882,46667.31845,197.365802
OTU_2119418,3.889574848,4.433546069,6.457142441,3.489038205,3.239869586,2.980728142,4.168597065,6.100231081,4.868904199,4.00526998,2.590348178,3.489038205,2.356053939,4.029254151,4.364443993,5.71543854,4.324757985,4.815148932,4.503538284,4.868904199,3.169812702,2.506747284,4.503538284,4.668674006,6.813446,4.029254151,4.868904199,1.313064811,2.675942117,3.981400187,5.739104293,2.160101286,2.726728777,1.979513301,2.884224942,4.63573119,2.080805232,6.432381005,3.788158859,34.05631127,45.35720104,21.67969603,24.73492405,52.72242597,19.88987063,3.321977771,13.93329619,20.49738477,2.395734501,39.85366386
OTU_183446,3761.972673,60.80876317,767.6605602,5217.05569,401.6152498,5217.05569,690.6759144,5217.05569,5217.05569,5217.05569,5217.05569,5217.05569,8968.114991,5217.05569,2528.557226,1956.028319,5217.05569,1378.15924,636.5179114,5217.05569,441.2814328,3761.972673,1956.028319,5217.05569,3761.972673,2528.557226,879.4248367,1956.028319,3761.972673,5217.05569,224.7501418,3761.972673,304.060219,5217.05569,3761.972673,2528.557226,1956.028319,262.5581823,636.5179114,46667.31845,46667.31845,46667.31845,46667.31845,46667.31845,606.5720038,879.4248367,767.6605602,1652.726656,1378.15924,879.4248367
OTU_203713,5217.05569,578.032735,879.4248367,3761.972673,1652.726656,3761.972673,5217.05569,3761.972673,3761.972673,2528.557226,1956.028319,578.032735,5217.05569,3761.972673,46667.31845,3761.972673,241.5517744,8968.114991,5217.05569,3761.972673,1956.028319,8968.114991,3761.972673,2528.557226,5217.05569,5217.05569,5217.05569,2528.557226,5217.05569,690.6759144,5217.05569,8968.114991,1378.15924,8968.114991,5217.05569,3761.972673,1021.874815,5217.05569,3761.972673,5217.05569,3761.972673,5217.05569,3761.972673,3761.972673,1652.726656,2528.557226,1378.15924,2528.557226,224.7501418,1652.726656
OTU_261590,2528.557226,401.6152498,197.365802,1956.028319,3761.972673,879.4248367,1652.726656,485.6721891,1378.15924,1652.726656,879.4248367,3761.972673,304.060219,365.3746115,3761.972673,879.4248367,1652.726656,3761.972673,8968.114991,728.1529304,5217.05569,2528.557226,1378.15924,86.71484203,1652.726656,879.4248367,3761.972673,5217.05569,2528.557226,1378.15924,947.9807121,529.1852685,3761.972673,1378.15924,636.5179114,1956.028319,8968.114991,690.6759144,5217.05569,1956.028319,2528.557226,1652.726656,5217.05569,5217.05569,46667.31845,8968.114991,46667.31845,46667.31845,1021.874815,46667.31845
OTU_4416610,3.889574848,1.453620156,0,3.489038205,0,0.493123324,1.847777434,2.429011629,1.887400479,2.675942117,0,1.213822213,3.857735491,1.313064811,0.270467942,3.586268059,3.857735491,1.107912588,3.704176319,2.130010781,8.435394911,4.77198153,4.503538284,5.437623589,0,3.302580089,2.811258097,1.313064811,5.71543854,3.271109746,2.969643008,3.899046931,1.927574827,3.017367924,3.857735491,1.048723459,0,3.880121078,2.590348178,34.05631127,21.67969603,64.66924416,24.73492405,52.72242597,1.815617261,3.321977771,8.972400599,2.70124834,0,17.52363619
OTU_268733,1956.028319,72.80717171,16.87541371,1021.874815,283.0814599,328.0535544,485.6721891,164.8537874,401.6152498,164.8537874,262.5581823,35.4678981,107.508126,124.1110535,32.7890709,3.586268059,304.060219,241.5517744,529.1852685,485.6721891,767.6605602,283.0814599,690.6759144,13.74807069,485.6721891,1652.726656,92.48407655,441.2814328,185.0251354,173.9684916,50.74991678,441.2814328,1652.726656,636.5179114,1378.15924,5217.05569,2528.557226,485.6721891,879.4248367,2528.557226,5217.05569,3761.972673,1652.726656,2528.557226,3761.972673,46667.31845,3761.972673,1956.028319,441.2814328,8968.114991
OTU_4397402,328.0535544,224.7501418,283.0814599,16.51632542,2528.557226,89.88510795,767.6605602,24.73492405,92.48407655,107.508126,148.6591024,14.00512438,0,79.59194432,529.1852685,690.6759144,52.72242597,879.4248367,1956.028319,1956.028319,1652.726656,262.5581823,110.2719218,3.549826051,365.3746115,173.9684916,107.508126,233.0002082,60.03213511,57.09426903,16.51632542,89.88510795,1170.584609,42.91892493,197.365802,879.4248367,304.060219,401.6152498,60.80876317,3761.972673,1021.874815,2528.557226,1956.028319,1956.028319,1378.15924,5217.05569,1956.028319,1021.874815,2528.557226,1956.028319
OTU_198888,767.6605602,3761.972673,1652.726656,2528.557226,1021.874815,2528.557226,2528.557226,879.4248367,2528.557226,3761.972673,1378.15924,1956.028319,241.5517744,636.5179114,1378.15924,578.032735,2528.557226,1652.726656,1170.584609,1170.584609,1170.584609,1378.15924,2528.557226,3761.972673,1170.584609,3761.972673,2528.557226,1170.584609,636.5179114,2528.557226,1956.028319,2528.557226,636.5179114,2528.557226,2528.557226,1652.726656,3761.972673,1378.15924,2528.557226,89.88510795,3.741327691,21.67969603,24.73492405,36.80025858,39.12173,18.11835489,59.2652654,51.25622778,5217.05569,139.3047021
OTU_258522,1652.726656,1170.584609,5217.05569,1652.726656,5217.05569,1170.584609,1378.15924,1021.874815,1956.028319,1956.028319,2528.557226,283.0814599,1021.874815,1652.726656,1652.726656,767.6605602,1170.584609,1170.584609,1021.874815,304.060219,529.1852685,1170.584609,767.6605602,636.5179114,1021.874815,328.0535544,1170.584609,3761.972673,1956.028319,3761.972673,3761.972673,1956.028319,5217.05569,1956.028319,1170.584609,1378.15924,1170.584609,1652.726656,1170.584609,52.24281835,114.0304872,108.8813347,24.73492405,68.05255885,40.26553679,60.03213511,92.48407655,211.8125858,767.6605602,107.508126
OTU_4410988,1378.15924,1378.15924,1378.15924,690.6759144,304.060219,1652.726656,3761.972673,690.6759144,1170.584609,1378.15924,1021.874815,1021.874815,1170.584609,1956.028319,1170.584609,1021.874815,3761.972673,767.6605602,304.060219,1378.15924,1021.874815,767.6605602,879.4248367,1021.874815,1378.15924,1956.028319,441.2814328,1021.874815,485.6721891,1956.028319,1170.584609,1021.874815,578.032735,690.6759144,529.1852685,1170.584609,1652.726656,1170.584609,1378.15924,52.24281835,179.4121319,64.66924416,52.24281835,3.429062513,24.73492405,3.321977771,39.12173,38.80015637,578.032735,39.85366386
OTU_258165,50.74991678,2528.557226,3761.972673,110.2719218,485.6721891,1378.15924,365.3746115,91.17543267,304.060219,262.5581823,117.9160101,529.1852685,2528.557226,5.315615494,1021.874815,5217.05569,690.6759144,1956.028319,3761.972673,328.0535544,3761.972673,1956.028319,1652.726656,293.384022,2528.557226,767.6605602,1378.15924,636.5179114,1021.874815,529.1852685,1378.15924,879.4248367,485.6721891,578.032735,690.6759144,82.04388397,5217.05569,3761.972673,767.6605602,52.24281835,3.741327691,21.67969603,24.73492405,19.57234257,211.8125858,46.14002064,152.2850367,51.25622778,1956.028319,39.85366386
OTU_4354103,211.8125858,155.99882,145.8965177,10.76739778,767.6605602,57.09426903,401.6152498,21.67969603,63.93079511,64.66924416,103.1288812,13.1819196,4.701809383,58.16981106,241.5517744,401.6152498,32.7890709,529.1852685,767.6605602,879.4248367,879.4248367,155.99882,79.59194432,7.130396272,185.0251354,110.2719218,83.56616605,164.8537874,21.77712918,41.13298513,11.77126636,39.85366386,767.6605602,40.26553679,135.5288986,401.6152498,173.9684916,224.7501418,41.55282929,1378.15924,879.4248367,1956.028319,1170.584609,1170.584609,767.6605602,1956.028319,1170.584609,767.6605602,879.4248367,1378.15924
OTU_259511,485.6721891,690.6759144,1956.028319,21.49598838,164.8537874,283.0814599,879.4248367,401.6152498,173.9684916,879.4248367,441.2814328,2528.557226,346.2130012,155.99882,1956.028319,1652.726656,283.0814599,2528.557226,164.8537874,283.0814599,1378.15924,1652.726656,5217.05569,401.6152498,1956.028319,636.5179114,485.6721891,1652.726656,283.0814599,636.5179114,2528.557226,1378.15924,690.6759144,1021.874815,1021.874815,529.1852685,767.6605602,879.4248367,1021.874815,52.24281835,21.67969603,3.586268059,52.24281835,19.57234257,75.39423433,107.508126,39.12173,20.49738477,365.3746115,39.85366386
OTU_790663,578.032735,636.5179114,1170.584609,441.2814328,1956.028319,529.1852685,1021.874815,211.8125858,197.365802,328.0535544,578.032735,211.8125858,1378.15924,879.4248367,283.0814599,485.6721891,879.4248367,224.7501418,1652.726656,2528.557226,2528.557226,1021.874815,1021.874815,251.8369134,767.6605602,1170.584609,211.8125858,1378.15924,1170.584609,1021.874815,85.11635316,1652.726656,529.1852685,1652.726656,1956.028319,441.2814328,211.8125858,365.3746115,211.8125858,52.24281835,21.67969603,21.67969603,24.73492405,88.28590531,401.6152498,3.321977771,124.1110535,114.0304872,211.8125858,107.508126
OTU_189840,365.3746115,879.4248367,46667.31845,328.0535544,441.2814328,690.6759144,578.032735,636.5179114,365.3746115,304.060219,636.5179114,767.6605602,578.032735,485.6721891,879.4248367,2528.557226,328.0535544,606.5720038,2528.557226,529.1852685,690.6759144,879.4248367,485.6721891,441.2814328,879.4248367,529.1852685,1021.874815,767.6605602,304.060219,578.032735,690.6759144,636.5179114,401.6152498,401.6152498,401.6152498,578.032735,529.1852685,2528.557226,578.032735,75.39423433,21.67969603,45.35720104,52.24281835,36.80025858,8.972400599,3.321977771,23.38066619,2.70124834,529.1852685,51.76749244
OTU_184451,1170.584609,304.060219,224.7501418,1170.584609,1170.584609,1021.874815,636.5179114,1378.15924,1652.726656,1170.584609,3761.972673,1378.15924,529.1852685,2528.557226,690.6759144,529.1852685,1956.028319,606.5720038,135.5288986,1652.726656,636.5179114,304.060219,1170.584609,1956.028319,578.032735,578.032735,636.5179114,529.1852685,1378.15924,485.6721891,636.5179114,1170.584609,365.3746115,485.6721891,304.060219,1021.874815,33.28051,14.07729806,441.2814328,89.88510795,21.67969603,135.5288986,52.24281835,124.1110535,24.73492405,33.28051,19.15027266,51.25622778,262.5581823,39.85366386
