12miseq6,stool4wkHFHS
12miseq7,stool4wkHFHS
12miseq8,stool4wkHFHS
12miseq9,stool4wkHFHS
12miseq10,stool4wkHFHS
12miseq11,stool4wkHFHS
12miseq12,stool4wkHFHS
12miseq13,stool4wkHFHS
12miseq14,stool4wkHFHS
12miseq15,stool4wkHFHS
12miseq16,stool4wkHFHS
12miseq17,stool4wkHFHS
12miseq18,stool4wkHFHS
12miseq19,stool4wkHFHS
12miseq20,stool4wkHFHS
12miseq21,stool4wkHFHS
12miseq22,stool4wkHFHS
12miseq23,stool4wkHFHS
12miseq24,stool4wkHFHS
12miseq25,stool4wkHFHS
12miseq26,stool4wkHFHS
12miseq27,stool4wkHFHS
12miseq28,stool4wkHFHS
12miseq29,stool4wkHFHS
12miseq30,stool4wkHFHS
12miseq31,stool4wkHFHS
12miseq32,stool4wkHFHS
12miseq33,stool4wkHFHS
12miseq34,stool4wkHFHS
12miseq35,stool4wkHFHS
12miseq36,stool4wkHFHS
12miseq37,stool4wkHFHS
12miseq38,stool4wkHFHS
12miseq39,stool4wkHFHS
12miseq40,stool4wkHFHS
12miseq46,stool8wkHFHS
12miseq47,stool8wkHFHS
12miseq48,stool8wkHFHS
12miseq49,stool8wkHFHS
12miseq50,stool8wkHFHS
12miseq81,ileum8wkNCD
12miseq82,ileum8wkNCD
12miseq83,ileum8wkNCD
12miseq84,ileum8wkNCD
12miseq85,ileum8wkNCD
12miseq86,ileum8wkHFHS
12miseq87,ileum8wkHFHS
12miseq88,ileum8wkHFHS
12miseq89,ileum8wkHFHS
12miseq90,ileum8wkHFHS
