Node,Subnetwork_partition
ENSMUSG00000043279,RNAseq_0
ENSMUSG00000034252,RNAseq_1
ENSMUSG00000031060,RNAseq_4
ENSMUSG00000066406,RNAseq_0
ENSMUSG00000036180,RNAseq_4
ENSMUSG00000053510,RNAseq_0
ENSMUSG00000038664,RNAseq_4
ENSMUSG00000063077,RNAseq_1
ENSMUSG00000024921,RNAseq_0
ENSMUSG00000026740,RNAseq_0
ENSMUSG00000021149,RNAseq_4
ENSMUSG00000064337,RNAseq_1
ENSMUSG00000025809,RNAseq_1
ENSMUSG00000022387,RNAseq_0
ENSMUSG00000030216,RNAseq_0
ENSMUSG00000069892,RNAseq_1
ENSMUSG00000032727,RNAseq_1
ENSMUSG00000044519,RNAseq_1
ENSMUSG00000024498,RNAseq_1
ENSMUSG00000026743,RNAseq_0
ENSMUSG00000025860,RNAseq_0
ENSMUSG00000061755,RNAseq_0
ENSMUSG00000026353,RNAseq_1
ENSMUSG00000025194,RNAseq_0
ENSMUSG00000026464,RNAseq_0
ENSMUSG00000032384,RNAseq_0
ENSMUSG00000064345,RNAseq_1
ENSMUSG00000035762,RNAseq_4
ENSMUSG00000015759,RNAseq_0
ENSMUSG00000021408,RNAseq_0
ENSMUSG00000024096,RNAseq_6
ENSMUSG00000041360,RNAseq_0
ENSMUSG00000058056,RNAseq_0
ENSMUSG00000058587,RNAseq_1
ENSMUSG00000032407,RNAseq_1
ENSMUSG00000025364,RNAseq_0
ENSMUSG00000028053,RNAseq_1
ENSMUSG00000002028,RNAseq_0
ENSMUSG00000030557,RNAseq_1
ENSMUSG00000054226,RNAseq_0
ENSMUSG00000056608,RNAseq_0
ENSMUSG00000034610,RNAseq_1
ENSMUSG00000032525,RNAseq_4
ENSMUSG00000020154,RNAseq_0
ENSMUSG00000028869,RNAseq_1
ENSMUSG00000044252,RNAseq_0
ENSMUSG00000037234,RNAseq_0
ENSMUSG00000078427,RNAseq_1
ENSMUSG00000026234,RNAseq_1
ENSMUSG00000021413,RNAseq_0
ENSMUSG00000049606,RNAseq_1
ENSMUSG00000042814,RNAseq_1
ENSMUSG00000031722,RNAseq_3
ENSMUSG00000062949,RNAseq_4
ENSMUSG00000016756,RNAseq_1
ENSMUSG00000052428,RNAseq_0
ENSMUSG00000029623,RNAseq_0
ENSMUSG00000061331,RNAseq_1
ENSMUSG00000035284,RNAseq_1
ENSMUSG00000062981,RNAseq_4
ENSMUSG00000037110,RNAseq_0
ENSMUSG00000064367,RNAseq_1
ENSMUSG00000022521,RNAseq_0
ENSMUSG00000030059,RNAseq_1
ENSMUSG00000040459,RNAseq_1
ENSMUSG00000064339,RNAseq_1
ENSMUSG00000024122,RNAseq_0
ENSMUSG00000048000,RNAseq_1
ENSMUSG00000032294,RNAseq_3
ENSMUSG00000031902,RNAseq_1
ENSMUSG00000024384,RNAseq_0
ENSMUSG00000060961,RNAseq_1
ENSMUSG00000031954,RNAseq_0
ENSMUSG00000035469,RNAseq_0
ENSMUSG00000034620,RNAseq_1
ENSMUSG00000053453,RNAseq_1
ENSMUSG00000030122,RNAseq_0
ENSMUSG00000038774,RNAseq_1
ENSMUSG00000057110,RNAseq_1
ENSMUSG00000052539,RNAseq_4
ENSMUSG00000024083,RNAseq_0
ENSMUSG00000064294,RNAseq_4
ENSMUSG00000030738,RNAseq_1
ENSMUSG00000048118,RNAseq_0
ENSMUSG00000004207,RNAseq_7
ENSMUSG00000022141,RNAseq_0
ENSMUSG00000003039,RNAseq_0
ENSMUSG00000040549,RNAseq_1
ENSMUSG00000032763,RNAseq_8
ENSMUSG00000021243,RNAseq_0
ENSMUSG00000022205,RNAseq_0
ENSMUSG00000020709,RNAseq_0
ENSMUSG00000020721,RNAseq_1
ENSMUSG00000033228,RNAseq_0
ENSMUSG00000063382,RNAseq_0
ENSMUSG00000021549,RNAseq_0
ENSMUSG00000051285,RNAseq_1
ENSMUSG00000026991,RNAseq_0
ENSMUSG00000028559,RNAseq_1
ENSMUSG00000044573,RNAseq_1
ENSMUSG00000031357,RNAseq_1
ENSMUSG00000028029,RNAseq_1
ENSMUSG00000034243,RNAseq_1
ENSMUSG00000035349,RNAseq_1
ENSMUSG00000036940,RNAseq_1
ENSMUSG00000024188,RNAseq_0
ENSMUSG00000026398,RNAseq_0
ENSMUSG00000039704,RNAseq_0
ENSMUSG00000090836,RNAseq_0
ENSMUSG00000053877,RNAseq_4
ENSMUSG00000068220,RNAseq_2
ENSMUSG00000029836,RNAseq_1
ENSMUSG00000029634,RNAseq_0
ENSMUSG00000080542,RNAseq_0
ENSMUSG00000030451,RNAseq_4
ENSMUSG00000059495,RNAseq_1
ENSMUSG00000070594,RNAseq_1
ENSMUSG00000020608,RNAseq_1
ENSMUSG00000027708,RNAseq_0
ENSMUSG00000058301,RNAseq_0
ENSMUSG00000038708,RNAseq_1
ENSMUSG00000027611,RNAseq_3
ENSMUSG00000020609,RNAseq_0
ENSMUSG00000074422,RNAseq_1
ENSMUSG00000024975,RNAseq_0
