lipid_metab_node,RNAseq_node,Shortest_path_length,number_of_shortest_paths
lipid104,ENSMUSG00000059495,8,3
lipid104,ENSMUSG00000060961,8,3
lipid104,ENSMUSG00000061331,9,51
lipid104,ENSMUSG00000061755,8,3
lipid104,ENSMUSG00000062949,8,3
lipid104,ENSMUSG00000062981,9,54
lipid104,ENSMUSG00000063077,8,3
lipid104,ENSMUSG00000063382,10,30
lipid104,ENSMUSG00000064294,8,3
lipid104,ENSMUSG00000064337,8,6
lipid104,ENSMUSG00000064339,8,3
lipid104,ENSMUSG00000064345,9,51
lipid104,ENSMUSG00000064367,8,3
lipid104,ENSMUSG00000066406,9,3
lipid104,ENSMUSG00000068220,3,3
lipid104,ENSMUSG00000069892,8,3
lipid104,ENSMUSG00000070594,8,6
lipid104,ENSMUSG00000072294,9,3
lipid104,ENSMUSG00000074422,8,3
lipid104,ENSMUSG00000078427,9,51
lipid104,ENSMUSG00000080542,9,33
lipid104,ENSMUSG00000090836,9,27
lipid105,ENSMUSG00000000056,9,121
lipid105,ENSMUSG00000002028,10,1089
lipid105,ENSMUSG00000003039,10,605
lipid105,ENSMUSG00000003813,10,121
lipid105,ENSMUSG00000004207,3,2
lipid105,ENSMUSG00000006005,9,121
lipid105,ENSMUSG00000011960,10,121
lipid105,ENSMUSG00000015759,10,363
lipid105,ENSMUSG00000016756,9,121
lipid105,ENSMUSG00000020154,10,121
lipid105,ENSMUSG00000020224,9,121
lipid105,ENSMUSG00000020250,10,1089
lipid105,ENSMUSG00000020608,10,3388
lipid105,ENSMUSG00000020609,9,121
lipid105,ENSMUSG00000020709,10,1452
lipid105,ENSMUSG00000020721,9,121
lipid105,ENSMUSG00000020863,9,121
lipid105,ENSMUSG00000021039,8,121
lipid105,ENSMUSG00000021149,10,1573
lipid105,ENSMUSG00000021243,10,121
lipid105,ENSMUSG00000021408,11,6413
lipid105,ENSMUSG00000021413,10,1210
lipid105,ENSMUSG00000021549,10,1210
lipid105,ENSMUSG00000022141,10,968
lipid105,ENSMUSG00000022205,11,10890
lipid105,ENSMUSG00000022383,9,242
lipid105,ENSMUSG00000022387,10,242
lipid105,ENSMUSG00000022521,10,242
lipid105,ENSMUSG00000022911,9,121
lipid105,ENSMUSG00000023852,9,242
lipid105,ENSMUSG00000024083,10,484
lipid105,ENSMUSG00000024096,2,1
lipid105,ENSMUSG00000024122,10,121
lipid105,ENSMUSG00000024188,10,1089
lipid105,ENSMUSG00000024384,10,121
lipid105,ENSMUSG00000024498,9,121
lipid105,ENSMUSG00000024526,3,2
lipid105,ENSMUSG00000024921,10,121
lipid105,ENSMUSG00000024975,10,242
lipid105,ENSMUSG00000025194,10,484
lipid105,ENSMUSG00000025364,10,363
lipid105,ENSMUSG00000025809,9,121
lipid105,ENSMUSG00000025860,10,605
lipid105,ENSMUSG00000026234,9,121
lipid105,ENSMUSG00000026353,9,121
lipid105,ENSMUSG00000026398,10,1331
lipid105,ENSMUSG00000026464,10,1936
lipid105,ENSMUSG00000026579,9,121
lipid105,ENSMUSG00000026740,10,363
lipid105,ENSMUSG00000026743,11,9801
lipid105,ENSMUSG00000026991,10,605
lipid105,ENSMUSG00000027677,10,484
lipid105,ENSMUSG00000027680,9,242
lipid105,ENSMUSG00000027708,11,3509
lipid105,ENSMUSG00000027884,10,1331
lipid105,ENSMUSG00000028029,10,1936
lipid105,ENSMUSG00000028053,9,121
lipid105,ENSMUSG00000028180,10,1815
lipid105,ENSMUSG00000028559,10,2178
lipid105,ENSMUSG00000028797,10,242
lipid105,ENSMUSG00000028869,10,605
lipid105,ENSMUSG00000029623,10,1331
lipid105,ENSMUSG00000029634,10,605
lipid105,ENSMUSG00000029836,9,121
lipid105,ENSMUSG00000030059,10,3872
lipid105,ENSMUSG00000030122,10,726
lipid105,ENSMUSG00000030216,10,242
lipid105,ENSMUSG00000030451,10,726
lipid105,ENSMUSG00000030557,10,1210
lipid105,ENSMUSG00000030738,9,242
lipid105,ENSMUSG00000031060,10,121
lipid105,ENSMUSG00000031357,9,121
lipid105,ENSMUSG00000031902,10,2904
lipid105,ENSMUSG00000031954,10,363
lipid105,ENSMUSG00000032384,11,11253
lipid105,ENSMUSG00000032407,10,3025
lipid105,ENSMUSG00000032525,10,484
lipid105,ENSMUSG00000032727,10,2178
lipid105,ENSMUSG00000032763,5,51
lipid105,ENSMUSG00000033228,10,121
lipid105,ENSMUSG00000034163,11,12705
lipid105,ENSMUSG00000034243,9,121
lipid105,ENSMUSG00000034252,9,121
lipid105,ENSMUSG00000034610,9,121
lipid105,ENSMUSG00000034620,9,121
lipid105,ENSMUSG00000035284,10,2299
lipid105,ENSMUSG00000035349,9,121
lipid105,ENSMUSG00000035469,10,847
lipid105,ENSMUSG00000035762,10,847
lipid105,ENSMUSG00000036180,10,726
lipid105,ENSMUSG00000036940,9,121
lipid105,ENSMUSG00000037110,10,242
lipid105,ENSMUSG00000037234,10,1452
lipid105,ENSMUSG00000037416,10,121
lipid105,ENSMUSG00000038446,10,121
lipid105,ENSMUSG00000038664,9,121
lipid105,ENSMUSG00000038708,9,121
lipid105,ENSMUSG00000038774,9,121
lipid105,ENSMUSG00000039704,11,1936
lipid105,ENSMUSG00000040459,10,968
lipid105,ENSMUSG00000040549,10,2057
lipid105,ENSMUSG00000041360,11,6292
lipid105,ENSMUSG00000041997,10,1694
lipid105,ENSMUSG00000042605,9,121
lipid105,ENSMUSG00000042814,8,121
lipid105,ENSMUSG00000043279,10,242
lipid105,ENSMUSG00000044252,10,121
lipid105,ENSMUSG00000044519,9,121
lipid105,ENSMUSG00000044573,9,121
lipid105,ENSMUSG00000046111,10,484
lipid105,ENSMUSG00000046230,9,121
lipid105,ENSMUSG00000048000,9,121
lipid105,ENSMUSG00000048118,10,605
lipid105,ENSMUSG00000049091,9,121
