lipid_metab_node,RNAseq_node,Shortest_path_length,number_of_shortest_paths
lipid128,ENSMUSG00000033228,7,2
lipid128,ENSMUSG00000034163,8,210
lipid128,ENSMUSG00000034243,6,2
lipid128,ENSMUSG00000034252,6,2
lipid128,ENSMUSG00000034610,6,2
lipid128,ENSMUSG00000034620,6,2
lipid128,ENSMUSG00000035284,7,38
lipid128,ENSMUSG00000035349,6,2
lipid128,ENSMUSG00000035469,7,14
lipid128,ENSMUSG00000035762,7,14
lipid128,ENSMUSG00000036180,7,12
lipid128,ENSMUSG00000036940,6,2
lipid128,ENSMUSG00000037110,7,4
lipid128,ENSMUSG00000037234,7,24
lipid128,ENSMUSG00000037416,7,2
lipid128,ENSMUSG00000038446,7,2
lipid128,ENSMUSG00000038664,6,2
lipid128,ENSMUSG00000038708,6,2
lipid128,ENSMUSG00000038774,6,2
lipid128,ENSMUSG00000039704,8,32
lipid128,ENSMUSG00000040459,7,16
lipid128,ENSMUSG00000040549,7,34
lipid128,ENSMUSG00000041360,8,104
lipid128,ENSMUSG00000041997,7,28
lipid128,ENSMUSG00000042605,6,2
lipid128,ENSMUSG00000042814,5,2
lipid128,ENSMUSG00000043279,7,4
lipid128,ENSMUSG00000044252,7,2
lipid128,ENSMUSG00000044519,6,2
lipid128,ENSMUSG00000044573,6,2
lipid128,ENSMUSG00000046111,7,8
lipid128,ENSMUSG00000046230,6,2
lipid128,ENSMUSG00000048000,6,2
lipid128,ENSMUSG00000048118,7,10
lipid128,ENSMUSG00000049091,6,2
lipid128,ENSMUSG00000049606,6,2
lipid128,ENSMUSG00000050697,6,2
lipid128,ENSMUSG00000051285,6,2
lipid128,ENSMUSG00000052337,7,20
lipid128,ENSMUSG00000052428,7,8
lipid128,ENSMUSG00000052539,6,4
lipid128,ENSMUSG00000052595,5,2
lipid128,ENSMUSG00000053453,6,2
lipid128,ENSMUSG00000053510,8,154
lipid128,ENSMUSG00000053877,6,4
lipid128,ENSMUSG00000054226,7,8
lipid128,ENSMUSG00000056608,7,12
lipid128,ENSMUSG00000057110,7,14
lipid128,ENSMUSG00000057181,7,2
lipid128,ENSMUSG00000058056,8,142
lipid128,ENSMUSG00000058301,7,14
lipid128,ENSMUSG00000058587,7,30
lipid128,ENSMUSG00000059495,6,2
lipid128,ENSMUSG00000060961,6,2
lipid128,ENSMUSG00000061331,7,34
lipid128,ENSMUSG00000061755,6,2
lipid128,ENSMUSG00000062949,6,2
lipid128,ENSMUSG00000062981,7,36
lipid128,ENSMUSG00000063077,6,2
lipid128,ENSMUSG00000063382,8,20
lipid128,ENSMUSG00000064294,6,2
lipid128,ENSMUSG00000064337,6,4
lipid128,ENSMUSG00000064339,6,2
lipid128,ENSMUSG00000064345,7,34
lipid128,ENSMUSG00000064367,6,2
lipid128,ENSMUSG00000066406,7,2
lipid128,ENSMUSG00000068220,5,17
lipid128,ENSMUSG00000069892,6,2
lipid128,ENSMUSG00000070594,6,4
lipid128,ENSMUSG00000072294,7,2
lipid128,ENSMUSG00000074422,6,2
lipid128,ENSMUSG00000078427,7,34
lipid128,ENSMUSG00000080542,7,22
lipid128,ENSMUSG00000090836,7,18
lipid130,ENSMUSG00000000056,6,1
lipid130,ENSMUSG00000002028,7,9
lipid130,ENSMUSG00000003039,7,5
lipid130,ENSMUSG00000003813,7,1
lipid130,ENSMUSG00000004207,4,3
lipid130,ENSMUSG00000006005,6,1
lipid130,ENSMUSG00000011960,7,1
lipid130,ENSMUSG00000015759,7,3
lipid130,ENSMUSG00000016756,6,1
lipid130,ENSMUSG00000020154,7,1
lipid130,ENSMUSG00000020224,6,1
lipid130,ENSMUSG00000020250,7,9
lipid130,ENSMUSG00000020608,7,28
lipid130,ENSMUSG00000020609,6,1
lipid130,ENSMUSG00000020709,7,12
lipid130,ENSMUSG00000020721,6,1
lipid130,ENSMUSG00000020863,6,1
lipid130,ENSMUSG00000021039,5,1
lipid130,ENSMUSG00000021149,7,13
lipid130,ENSMUSG00000021243,7,1
lipid130,ENSMUSG00000021408,8,53
lipid130,ENSMUSG00000021413,7,10
lipid130,ENSMUSG00000021549,7,10
lipid130,ENSMUSG00000022141,7,8
lipid130,ENSMUSG00000022205,8,90
lipid130,ENSMUSG00000022383,6,2
lipid130,ENSMUSG00000022387,7,2
lipid130,ENSMUSG00000022521,7,2
lipid130,ENSMUSG00000022911,6,1
lipid130,ENSMUSG00000023852,6,2
lipid130,ENSMUSG00000024083,7,4
lipid130,ENSMUSG00000024096,3,3
lipid130,ENSMUSG00000024122,7,1
lipid130,ENSMUSG00000024188,7,9
lipid130,ENSMUSG00000024384,7,1
lipid130,ENSMUSG00000024498,6,1
lipid130,ENSMUSG00000024526,4,2
lipid130,ENSMUSG00000024921,7,1
lipid130,ENSMUSG00000024975,7,2
lipid130,ENSMUSG00000025194,7,4
lipid130,ENSMUSG00000025364,7,3
lipid130,ENSMUSG00000025809,6,1
lipid130,ENSMUSG00000025860,7,5
lipid130,ENSMUSG00000026234,6,1
lipid130,ENSMUSG00000026353,6,1
lipid130,ENSMUSG00000026398,7,11
lipid130,ENSMUSG00000026464,7,16
lipid130,ENSMUSG00000026579,6,1
lipid130,ENSMUSG00000026740,7,3
lipid130,ENSMUSG00000026743,8,81
lipid130,ENSMUSG00000026991,7,5
lipid130,ENSMUSG00000027677,7,4
lipid130,ENSMUSG00000027680,6,2
lipid130,ENSMUSG00000027708,8,29
lipid130,ENSMUSG00000027884,7,11
lipid130,ENSMUSG00000028029,7,16
lipid130,ENSMUSG00000028053,6,1
lipid130,ENSMUSG00000028180,7,15
lipid130,ENSMUSG00000028559,7,18
lipid130,ENSMUSG00000028797,7,2
lipid130,ENSMUSG00000028869,7,5
lipid130,ENSMUSG00000029623,7,11
lipid130,ENSMUSG00000029634,7,5
lipid130,ENSMUSG00000029836,6,1
lipid130,ENSMUSG00000030059,7,32
lipid130,ENSMUSG00000030122,7,6
lipid130,ENSMUSG00000030216,7,2
lipid130,ENSMUSG00000030451,7,6
lipid130,ENSMUSG00000030557,7,10
lipid130,ENSMUSG00000030738,6,2
lipid130,ENSMUSG00000031060,7,1
lipid130,ENSMUSG00000031357,6,1
lipid130,ENSMUSG00000031902,7,24
lipid130,ENSMUSG00000031954,7,3
lipid130,ENSMUSG00000032384,8,93
lipid130,ENSMUSG00000032407,7,25
lipid130,ENSMUSG00000032525,7,4
lipid130,ENSMUSG00000032727,7,18
lipid130,ENSMUSG00000032763,2,1
lipid130,ENSMUSG00000033228,7,1
lipid130,ENSMUSG00000034163,8,105
lipid130,ENSMUSG00000034243,6,1
lipid130,ENSMUSG00000034252,6,1
lipid130,ENSMUSG00000034610,6,1
lipid130,ENSMUSG00000034620,6,1
lipid130,ENSMUSG00000035284,7,19
lipid130,ENSMUSG00000035349,6,1
lipid130,ENSMUSG00000035469,7,7
lipid130,ENSMUSG00000035762,7,7
lipid130,ENSMUSG00000036180,7,6
lipid130,ENSMUSG00000036940,6,1
lipid130,ENSMUSG00000037110,7,2
lipid130,ENSMUSG00000037234,7,12
lipid130,ENSMUSG00000037416,7,1
lipid130,ENSMUSG00000038446,7,1
lipid130,ENSMUSG00000038664,6,1
lipid130,ENSMUSG00000038708,6,1
lipid130,ENSMUSG00000038774,6,1
lipid130,ENSMUSG00000039704,8,16
lipid130,ENSMUSG00000040459,7,8
lipid130,ENSMUSG00000040549,7,17
lipid130,ENSMUSG00000041360,8,52
lipid130,ENSMUSG00000041997,7,14
lipid130,ENSMUSG00000042605,6,1
lipid130,ENSMUSG00000042814,5,1
lipid130,ENSMUSG00000043279,7,2
lipid130,ENSMUSG00000044252,7,1
lipid130,ENSMUSG00000044519,6,1
lipid130,ENSMUSG00000044573,6,1
lipid130,ENSMUSG00000046111,7,4
lipid130,ENSMUSG00000046230,6,1
lipid130,ENSMUSG00000048000,6,1
lipid130,ENSMUSG00000048118,7,5
lipid130,ENSMUSG00000049091,6,1
lipid130,ENSMUSG00000049606,6,1
lipid130,ENSMUSG00000050697,6,1
lipid130,ENSMUSG00000051285,6,1
lipid130,ENSMUSG00000052337,7,10
lipid130,ENSMUSG00000052428,7,4
lipid130,ENSMUSG00000052539,6,2
lipid130,ENSMUSG00000052595,5,1
lipid130,ENSMUSG00000053453,6,1
lipid130,ENSMUSG00000053510,8,77
lipid130,ENSMUSG00000053877,6,2
lipid130,ENSMUSG00000054226,7,4
lipid130,ENSMUSG00000056608,7,6
lipid130,ENSMUSG00000057110,7,7
lipid130,ENSMUSG00000057181,7,1
lipid130,ENSMUSG00000058056,8,71
lipid130,ENSMUSG00000058301,7,7
lipid130,ENSMUSG00000058587,7,15
lipid130,ENSMUSG00000059495,6,1
lipid130,ENSMUSG00000060961,6,1
lipid130,ENSMUSG00000061331,7,17
lipid130,ENSMUSG00000061755,6,1
lipid130,ENSMUSG00000062949,6,1
lipid130,ENSMUSG00000062981,7,18
lipid130,ENSMUSG00000063077,6,1
lipid130,ENSMUSG00000063382,8,10
lipid130,ENSMUSG00000064294,6,1
lipid130,ENSMUSG00000064337,6,2
lipid130,ENSMUSG00000064339,6,1
lipid130,ENSMUSG00000064345,7,17
lipid130,ENSMUSG00000064367,6,1
lipid130,ENSMUSG00000066406,7,1
lipid130,ENSMUSG00000068220,4,3
lipid130,ENSMUSG00000069892,6,1
lipid130,ENSMUSG00000070594,6,2
lipid130,ENSMUSG00000072294,7,1
lipid130,ENSMUSG00000074422,6,1
lipid130,ENSMUSG00000078427,7,17
lipid130,ENSMUSG00000080542,7,11
lipid130,ENSMUSG00000090836,7,9
lipid132,ENSMUSG00000000056,6,3
lipid132,ENSMUSG00000002028,7,27
lipid132,ENSMUSG00000003039,7,15
lipid132,ENSMUSG00000003813,7,3
lipid132,ENSMUSG00000004207,6,26
lipid132,ENSMUSG00000006005,6,3
lipid132,ENSMUSG00000011960,7,3
lipid132,ENSMUSG00000015759,7,9
lipid132,ENSMUSG00000016756,6,3
lipid132,ENSMUSG00000020154,7,3
lipid132,ENSMUSG00000020224,6,3
lipid132,ENSMUSG00000020250,7,27
lipid132,ENSMUSG00000020608,7,84
lipid132,ENSMUSG00000020609,6,3
lipid132,ENSMUSG00000020709,7,36
lipid132,ENSMUSG00000020721,6,3
lipid132,ENSMUSG00000020863,6,3
lipid132,ENSMUSG00000021039,5,3
lipid132,ENSMUSG00000021149,7,39
lipid132,ENSMUSG00000021243,7,3
lipid132,ENSMUSG00000021408,8,159
lipid132,ENSMUSG00000021413,7,30
lipid132,ENSMUSG00000021549,7,30
lipid132,ENSMUSG00000022141,7,24
lipid132,ENSMUSG00000022205,8,270
lipid132,ENSMUSG00000022383,6,6
lipid132,ENSMUSG00000022387,7,6
lipid132,ENSMUSG00000022521,7,6
lipid132,ENSMUSG00000022911,6,3
lipid132,ENSMUSG00000023852,6,6
lipid132,ENSMUSG00000024083,7,12
lipid132,ENSMUSG00000024096,4,7
lipid132,ENSMUSG00000024122,7,3
lipid132,ENSMUSG00000024188,7,27
lipid132,ENSMUSG00000024384,7,3
lipid132,ENSMUSG00000024498,6,3
lipid132,ENSMUSG00000024526,6,39
lipid132,ENSMUSG00000024921,7,3
lipid132,ENSMUSG00000024975,7,6
lipid132,ENSMUSG00000025194,7,12
lipid132,ENSMUSG00000025364,7,9
lipid132,ENSMUSG00000025809,6,3
lipid132,ENSMUSG00000025860,7,15
lipid132,ENSMUSG00000026234,6,3
lipid132,ENSMUSG00000026353,6,3
lipid132,ENSMUSG00000026398,7,33
lipid132,ENSMUSG00000026464,7,48
lipid132,ENSMUSG00000026579,6,3
lipid132,ENSMUSG00000026740,7,9
lipid132,ENSMUSG00000026743,8,243
lipid132,ENSMUSG00000026991,7,15
lipid132,ENSMUSG00000027677,7,12
lipid132,ENSMUSG00000027680,6,6
lipid132,ENSMUSG00000027708,8,87
lipid132,ENSMUSG00000027884,7,33
lipid132,ENSMUSG00000028029,7,48
lipid132,ENSMUSG00000028053,6,3
lipid132,ENSMUSG00000028180,7,45
lipid132,ENSMUSG00000028559,7,54
lipid132,ENSMUSG00000028797,7,6
lipid132,ENSMUSG00000028869,7,15
lipid132,ENSMUSG00000029623,7,33
lipid132,ENSMUSG00000029634,7,15
lipid132,ENSMUSG00000029836,6,3
lipid132,ENSMUSG00000030059,7,96
lipid132,ENSMUSG00000030122,7,18
lipid132,ENSMUSG00000030216,7,6
lipid132,ENSMUSG00000030451,7,18
lipid132,ENSMUSG00000030557,7,30
lipid132,ENSMUSG00000030738,6,6
lipid132,ENSMUSG00000031060,7,3
lipid132,ENSMUSG00000031357,6,3
lipid132,ENSMUSG00000031902,7,72
lipid132,ENSMUSG00000031954,7,9
lipid132,ENSMUSG00000032384,8,279
lipid132,ENSMUSG00000032407,7,75
lipid132,ENSMUSG00000032525,7,12
lipid132,ENSMUSG00000032727,7,54
lipid132,ENSMUSG00000032763,3,1
lipid132,ENSMUSG00000033228,7,3
lipid132,ENSMUSG00000034163,8,315
lipid132,ENSMUSG00000034243,6,3
lipid132,ENSMUSG00000034252,6,3
lipid132,ENSMUSG00000034610,6,3
lipid132,ENSMUSG00000034620,6,3
lipid132,ENSMUSG00000035284,7,57
lipid132,ENSMUSG00000035349,6,3
lipid132,ENSMUSG00000035469,7,21
lipid132,ENSMUSG00000035762,7,21
lipid132,ENSMUSG00000036180,7,18
lipid132,ENSMUSG00000036940,6,3
lipid132,ENSMUSG00000037110,7,6
lipid132,ENSMUSG00000037234,7,36
lipid132,ENSMUSG00000037416,7,3
lipid132,ENSMUSG00000038446,7,3
lipid132,ENSMUSG00000038664,6,3
lipid132,ENSMUSG00000038708,6,3
lipid132,ENSMUSG00000038774,6,3
lipid132,ENSMUSG00000039704,8,48
lipid132,ENSMUSG00000040459,7,24
lipid132,ENSMUSG00000040549,7,51
lipid132,ENSMUSG00000041360,8,156
lipid132,ENSMUSG00000041997,7,42
lipid132,ENSMUSG00000042605,6,3
lipid132,ENSMUSG00000042814,5,3
lipid132,ENSMUSG00000043279,7,6
lipid132,ENSMUSG00000044252,7,3
lipid132,ENSMUSG00000044519,6,3
lipid132,ENSMUSG00000044573,6,3
lipid132,ENSMUSG00000046111,7,12
lipid132,ENSMUSG00000046230,6,3
lipid132,ENSMUSG00000048000,6,3
lipid132,ENSMUSG00000048118,7,15
lipid132,ENSMUSG00000049091,6,3
lipid132,ENSMUSG00000049606,6,3
lipid132,ENSMUSG00000050697,6,3
lipid132,ENSMUSG00000051285,6,3
lipid132,ENSMUSG00000052337,7,30
lipid132,ENSMUSG00000052428,7,12
lipid132,ENSMUSG00000052539,6,6
lipid132,ENSMUSG00000052595,5,3
lipid132,ENSMUSG00000053453,6,3
lipid132,ENSMUSG00000053510,8,231
lipid132,ENSMUSG00000053877,6,6
lipid132,ENSMUSG00000054226,7,12
lipid132,ENSMUSG00000056608,7,18
lipid132,ENSMUSG00000057110,7,21
lipid132,ENSMUSG00000057181,7,3
lipid132,ENSMUSG00000058056,8,213
lipid132,ENSMUSG00000058301,7,21
lipid132,ENSMUSG00000058587,7,45
lipid132,ENSMUSG00000059495,6,3
lipid132,ENSMUSG00000060961,6,3
lipid132,ENSMUSG00000061331,7,51
lipid132,ENSMUSG00000061755,6,3
lipid132,ENSMUSG00000062949,6,3
lipid132,ENSMUSG00000062981,7,54
lipid132,ENSMUSG00000063077,6,3
lipid132,ENSMUSG00000063382,8,30
lipid132,ENSMUSG00000064294,6,3
lipid132,ENSMUSG00000064337,6,6
lipid132,ENSMUSG00000064339,6,3
lipid132,ENSMUSG00000064345,7,51
lipid132,ENSMUSG00000064367,6,3
lipid132,ENSMUSG00000066406,7,3
lipid132,ENSMUSG00000068220,6,41
lipid132,ENSMUSG00000069892,6,3
lipid132,ENSMUSG00000070594,6,6
lipid132,ENSMUSG00000072294,7,3
lipid132,ENSMUSG00000074422,6,3
lipid132,ENSMUSG00000078427,7,51
lipid132,ENSMUSG00000080542,7,33
lipid132,ENSMUSG00000090836,7,27
lipid133,ENSMUSG00000000056,5,1
lipid133,ENSMUSG00000002028,6,9
lipid133,ENSMUSG00000003039,6,5
lipid133,ENSMUSG00000003813,6,1
lipid133,ENSMUSG00000004207,5,1
lipid133,ENSMUSG00000006005,5,1
lipid133,ENSMUSG00000011960,6,1
lipid133,ENSMUSG00000015759,6,3
lipid133,ENSMUSG00000016756,5,1
lipid133,ENSMUSG00000020154,6,1
lipid133,ENSMUSG00000020224,5,1
lipid133,ENSMUSG00000020250,6,9
lipid133,ENSMUSG00000020608,6,28
lipid133,ENSMUSG00000020609,5,1
lipid133,ENSMUSG00000020709,6,12
lipid133,ENSMUSG00000020721,5,1
lipid133,ENSMUSG00000020863,5,1
lipid133,ENSMUSG00000021039,4,1
lipid133,ENSMUSG00000021149,6,13
lipid133,ENSMUSG00000021243,6,1
lipid133,ENSMUSG00000021408,7,53
lipid133,ENSMUSG00000021413,6,10
lipid133,ENSMUSG00000021549,6,10
lipid133,ENSMUSG00000022141,6,8
lipid133,ENSMUSG00000022205,7,90
lipid133,ENSMUSG00000022383,5,2
lipid133,ENSMUSG00000022387,6,2
lipid133,ENSMUSG00000022521,6,2
lipid133,ENSMUSG00000022911,5,1
lipid133,ENSMUSG00000023852,5,2
lipid133,ENSMUSG00000024083,6,4
lipid133,ENSMUSG00000024096,3,1
lipid133,ENSMUSG00000024122,6,1
lipid133,ENSMUSG00000024188,6,9
lipid133,ENSMUSG00000024384,6,1
lipid133,ENSMUSG00000024498,5,1
lipid133,ENSMUSG00000024526,5,1
lipid133,ENSMUSG00000024921,6,1
lipid133,ENSMUSG00000024975,6,2
lipid133,ENSMUSG00000025194,6,4
lipid133,ENSMUSG00000025364,6,3
lipid133,ENSMUSG00000025809,5,1
lipid133,ENSMUSG00000025860,6,5
lipid133,ENSMUSG00000026234,5,1
lipid133,ENSMUSG00000026353,5,1
lipid133,ENSMUSG00000026398,6,11
lipid133,ENSMUSG00000026464,6,16
lipid133,ENSMUSG00000026579,5,1
lipid133,ENSMUSG00000026740,6,3
lipid133,ENSMUSG00000026743,7,81
lipid133,ENSMUSG00000026991,6,5
lipid133,ENSMUSG00000027677,6,4
lipid133,ENSMUSG00000027680,5,2
lipid133,ENSMUSG00000027708,7,29
lipid133,ENSMUSG00000027884,6,11
lipid133,ENSMUSG00000028029,6,16
lipid133,ENSMUSG00000028053,5,1
lipid133,ENSMUSG00000028180,6,15
lipid133,ENSMUSG00000028559,6,18
lipid133,ENSMUSG00000028797,6,2
lipid133,ENSMUSG00000028869,6,5
lipid133,ENSMUSG00000029623,6,11
lipid133,ENSMUSG00000029634,6,5
lipid133,ENSMUSG00000029836,5,1
lipid133,ENSMUSG00000030059,6,32
lipid133,ENSMUSG00000030122,6,6
lipid133,ENSMUSG00000030216,6,2
lipid133,ENSMUSG00000030451,6,6
lipid133,ENSMUSG00000030557,6,10
lipid133,ENSMUSG00000030738,5,2
lipid133,ENSMUSG00000031060,6,1
lipid133,ENSMUSG00000031357,5,1
lipid133,ENSMUSG00000031902,6,24
lipid133,ENSMUSG00000031954,6,3
lipid133,ENSMUSG00000032384,7,93
lipid133,ENSMUSG00000032407,6,25
lipid133,ENSMUSG00000032525,6,4
lipid133,ENSMUSG00000032727,6,18
lipid133,ENSMUSG00000032763,3,4
lipid133,ENSMUSG00000033228,6,1
lipid133,ENSMUSG00000034163,7,105
lipid133,ENSMUSG00000034243,5,1
lipid133,ENSMUSG00000034252,5,1
lipid133,ENSMUSG00000034610,5,1
lipid133,ENSMUSG00000034620,5,1
lipid133,ENSMUSG00000035284,6,19
lipid133,ENSMUSG00000035349,5,1
lipid133,ENSMUSG00000035469,6,7
lipid133,ENSMUSG00000035762,6,7
lipid133,ENSMUSG00000036180,6,6
lipid133,ENSMUSG00000036940,5,1
lipid133,ENSMUSG00000037110,6,2
lipid133,ENSMUSG00000037234,6,12
lipid133,ENSMUSG00000037416,6,1
lipid133,ENSMUSG00000038446,6,1
lipid133,ENSMUSG00000038664,5,1
lipid133,ENSMUSG00000038708,5,1
lipid133,ENSMUSG00000038774,5,1
lipid133,ENSMUSG00000039704,7,16
lipid133,ENSMUSG00000040459,6,8
lipid133,ENSMUSG00000040549,6,17
lipid133,ENSMUSG00000041360,7,52
lipid133,ENSMUSG00000041997,6,14
lipid133,ENSMUSG00000042605,5,1
lipid133,ENSMUSG00000042814,4,1
lipid133,ENSMUSG00000043279,6,2
lipid133,ENSMUSG00000044252,6,1
lipid133,ENSMUSG00000044519,5,1
lipid133,ENSMUSG00000044573,5,1
lipid133,ENSMUSG00000046111,6,4
lipid133,ENSMUSG00000046230,5,1
lipid133,ENSMUSG00000048000,5,1
lipid133,ENSMUSG00000048118,6,5
lipid133,ENSMUSG00000049091,5,1
lipid133,ENSMUSG00000049606,5,1
lipid133,ENSMUSG00000050697,5,1
lipid133,ENSMUSG00000051285,5,1
lipid133,ENSMUSG00000052337,6,10
lipid133,ENSMUSG00000052428,6,4
lipid133,ENSMUSG00000052539,5,2
lipid133,ENSMUSG00000052595,4,1
lipid133,ENSMUSG00000053453,5,1
lipid133,ENSMUSG00000053510,7,77
lipid133,ENSMUSG00000053877,5,2
lipid133,ENSMUSG00000054226,6,4
lipid133,ENSMUSG00000056608,6,6
lipid133,ENSMUSG00000057110,6,7
lipid133,ENSMUSG00000057181,6,1
lipid133,ENSMUSG00000058056,7,71
lipid133,ENSMUSG00000058301,6,7
lipid133,ENSMUSG00000058587,6,15
lipid133,ENSMUSG00000059495,5,1
lipid133,ENSMUSG00000060961,5,1
lipid133,ENSMUSG00000061331,6,17
lipid133,ENSMUSG00000061755,5,1
lipid133,ENSMUSG00000062949,5,1
lipid133,ENSMUSG00000062981,6,18
lipid133,ENSMUSG00000063077,5,1
lipid133,ENSMUSG00000063382,7,10
lipid133,ENSMUSG00000064294,5,1
lipid133,ENSMUSG00000064337,5,2
lipid133,ENSMUSG00000064339,5,1
lipid133,ENSMUSG00000064345,6,17
lipid133,ENSMUSG00000064367,5,1
lipid133,ENSMUSG00000066406,6,1
lipid133,ENSMUSG00000068220,5,1
lipid133,ENSMUSG00000069892,5,1
lipid133,ENSMUSG00000070594,5,2
lipid133,ENSMUSG00000072294,6,1
lipid133,ENSMUSG00000074422,5,1
lipid133,ENSMUSG00000078427,6,17
lipid133,ENSMUSG00000080542,6,11
lipid133,ENSMUSG00000090836,6,9
lipid137,ENSMUSG00000000056,5,1
lipid137,ENSMUSG00000002028,6,9
lipid137,ENSMUSG00000003039,6,5
lipid137,ENSMUSG00000003813,6,1
lipid137,ENSMUSG00000004207,5,1
lipid137,ENSMUSG00000006005,5,1
lipid137,ENSMUSG00000011960,6,1
lipid137,ENSMUSG00000015759,6,3
lipid137,ENSMUSG00000016756,5,1
lipid137,ENSMUSG00000020154,6,1
lipid137,ENSMUSG00000020224,5,1
lipid137,ENSMUSG00000020250,6,9
lipid137,ENSMUSG00000020608,6,28
lipid137,ENSMUSG00000020609,5,1
lipid137,ENSMUSG00000020709,6,12
lipid137,ENSMUSG00000020721,5,1
lipid137,ENSMUSG00000020863,5,1
lipid137,ENSMUSG00000021039,4,1
lipid137,ENSMUSG00000021149,6,13
lipid137,ENSMUSG00000021243,6,1
lipid137,ENSMUSG00000021408,7,53
lipid137,ENSMUSG00000021413,6,10
lipid137,ENSMUSG00000021549,6,10
lipid137,ENSMUSG00000022141,6,8
lipid137,ENSMUSG00000022205,7,90
lipid137,ENSMUSG00000022383,5,2
lipid137,ENSMUSG00000022387,6,2
lipid137,ENSMUSG00000022521,6,2
lipid137,ENSMUSG00000022911,5,1
lipid137,ENSMUSG00000023852,5,2
lipid137,ENSMUSG00000024083,6,4
lipid137,ENSMUSG00000024096,4,10
lipid137,ENSMUSG00000024122,6,1
lipid137,ENSMUSG00000024188,6,9
lipid137,ENSMUSG00000024384,6,1
lipid137,ENSMUSG00000024498,5,1
lipid137,ENSMUSG00000024526,6,20
lipid137,ENSMUSG00000024921,6,1
lipid137,ENSMUSG00000024975,6,2
lipid137,ENSMUSG00000025194,6,4
lipid137,ENSMUSG00000025364,6,3
lipid137,ENSMUSG00000025809,5,1
lipid137,ENSMUSG00000025860,6,5
lipid137,ENSMUSG00000026234,5,1
lipid137,ENSMUSG00000026353,5,1
lipid137,ENSMUSG00000026398,6,11
lipid137,ENSMUSG00000026464,6,16
lipid137,ENSMUSG00000026579,5,1
lipid137,ENSMUSG00000026740,6,3
lipid137,ENSMUSG00000026743,7,81
lipid137,ENSMUSG00000026991,6,5
lipid137,ENSMUSG00000027677,6,4
lipid137,ENSMUSG00000027680,5,2
lipid137,ENSMUSG00000027708,7,29
lipid137,ENSMUSG00000027884,6,11
lipid137,ENSMUSG00000028029,6,16
lipid137,ENSMUSG00000028053,5,1
lipid137,ENSMUSG00000028180,6,15
lipid137,ENSMUSG00000028559,6,18
lipid137,ENSMUSG00000028797,6,2
lipid137,ENSMUSG00000028869,6,5
lipid137,ENSMUSG00000029623,6,11
lipid137,ENSMUSG00000029634,6,5
lipid137,ENSMUSG00000029836,5,1
lipid137,ENSMUSG00000030059,6,32
lipid137,ENSMUSG00000030122,6,6
lipid137,ENSMUSG00000030216,6,2
lipid137,ENSMUSG00000030451,6,6
lipid137,ENSMUSG00000030557,6,10
lipid137,ENSMUSG00000030738,5,2
lipid137,ENSMUSG00000031060,6,1
lipid137,ENSMUSG00000031357,5,1
lipid137,ENSMUSG00000031902,6,24
lipid137,ENSMUSG00000031954,6,3
lipid137,ENSMUSG00000032384,7,93
lipid137,ENSMUSG00000032407,6,25
lipid137,ENSMUSG00000032525,6,4
lipid137,ENSMUSG00000032727,6,18
lipid137,ENSMUSG00000032763,3,3
lipid137,ENSMUSG00000033228,6,1
lipid137,ENSMUSG00000034163,7,105
lipid137,ENSMUSG00000034243,5,1
lipid137,ENSMUSG00000034252,5,1
lipid137,ENSMUSG00000034610,5,1
lipid137,ENSMUSG00000034620,5,1
lipid137,ENSMUSG00000035284,6,19
lipid137,ENSMUSG00000035349,5,1
lipid137,ENSMUSG00000035469,6,7
lipid137,ENSMUSG00000035762,6,7
lipid137,ENSMUSG00000036180,6,6
lipid137,ENSMUSG00000036940,5,1
lipid137,ENSMUSG00000037110,6,2
lipid137,ENSMUSG00000037234,6,12
lipid137,ENSMUSG00000037416,6,1
lipid137,ENSMUSG00000038446,6,1
lipid137,ENSMUSG00000038664,5,1
lipid137,ENSMUSG00000038708,5,1
lipid137,ENSMUSG00000038774,5,1
lipid137,ENSMUSG00000039704,7,16
lipid137,ENSMUSG00000040459,6,8
lipid137,ENSMUSG00000040549,6,17
lipid137,ENSMUSG00000041360,7,52
lipid137,ENSMUSG00000041997,6,14
lipid137,ENSMUSG00000042605,5,1
lipid137,ENSMUSG00000042814,4,1
lipid137,ENSMUSG00000043279,6,2
lipid137,ENSMUSG00000044252,6,1
lipid137,ENSMUSG00000044519,5,1
lipid137,ENSMUSG00000044573,5,1
lipid137,ENSMUSG00000046111,6,4
lipid137,ENSMUSG00000046230,5,1
lipid137,ENSMUSG00000048000,5,1
lipid137,ENSMUSG00000048118,6,5
lipid137,ENSMUSG00000049091,5,1
lipid137,ENSMUSG00000049606,5,1
lipid137,ENSMUSG00000050697,5,1
lipid137,ENSMUSG00000051285,5,1
lipid137,ENSMUSG00000052337,6,10
lipid137,ENSMUSG00000052428,6,4
lipid137,ENSMUSG00000052539,5,2
lipid137,ENSMUSG00000052595,4,1
lipid137,ENSMUSG00000053453,5,1
lipid137,ENSMUSG00000053510,7,77
lipid137,ENSMUSG00000053877,5,2
lipid137,ENSMUSG00000054226,6,4
lipid137,ENSMUSG00000056608,6,6
lipid137,ENSMUSG00000057110,6,7
lipid137,ENSMUSG00000057181,6,1
lipid137,ENSMUSG00000058056,7,71
lipid137,ENSMUSG00000058301,6,7
lipid137,ENSMUSG00000058587,6,15
